"Node Name"	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"
"OTU_485"	113	4.23898288406497	333	0.0976479653524203	0.947376738305942
"OTU_123"	103	0.956302853512993	86	0.0906926424026965	0.983628402817438
"OTU_47"	99	1.73562392857712	145	0.0865750211045056	0.970109255823542
"OTU_60"	114	6.254891840445	408	0.0979644688646727	0.936655798789008
"OTU_46"	108	2.89743047648225	226	0.0939415796786259	0.960886119764624
"OTU_74"	112	11.5358045678854	423	0.0959919698174187	0.931949806949807
"OTU_34"	86	7.80539747526917	194	0.074296793284448	0.946922024623803
"OTU_88"	112	3.9783702306555	312	0.0969011017374014	0.94980694980695
"OTU_86"	113	4.23898288406497	333	0.0976479653524203	0.947376738305942
"OTU_6"	113	4.23898288406497	333	0.0976479653524203	0.947376738305942
"OTU_125"	111	11.1763270055322	402	0.0952358308575746	0.934152334152334
"OTU_31"	109	2.35343146707414	201	0.095072993632047	0.965851172273191
"OTU_113"	110	3.24218919735132	256	0.0955366472398001	0.957297748123436
"OTU_44"	96	13.5671848191902	276	0.0825260039391662	0.939473684210526
"OTU_236"	104	1.93763921540399	151	0.0910350479599973	0.971807318894698
"OTU_55"	114	6.254891840445	408	0.0979644688646727	0.936655798789008
"OTU_100"	109	3.1159402359936	244	0.0947302831263949	0.958545701664968
"OTU_87"	113	5.38145946620088	357	0.0974522866098848	0.94358407079646
"OTU_80"	95	1.06753097708387	90	0.0834680773677308	0.979843225083987
"OTU_70"	105	1.62320332731486	140	0.0919836910866148	0.974358974358974
"OTU_82"	114	6.254891840445	408	0.0979644688646727	0.936655798789008
"OTU_241"	106	2.10117147769444	165	0.0926813088328173	0.970350404312669
"OTU_65"	106	1.92834914075564	164	0.0926955402394363	0.970530098831986
"OTU_89"	110	2.69721591595839	228	0.0957548908306245	0.961968306922435
"OTU_190"	115	12.9776593507125	507	0.0980921630587566	0.922654462242563
"OTU_107"	108	2.08298764455777	180	0.0943574751870244	0.968847352024922
"OTU_140"	103	1.64372269853597	138	0.0901396091317985	0.97372929754426
"OTU_78"	109	4.14763425734157	263	0.0945702077816513	0.955317703024125
"OTU_56"	114	6.254891840445	408	0.0979644688646727	0.936655798789008
"OTU_908"	82	0.46602210816163	41	0.0722759121851515	0.987654320987654
"OTU_77"	90	5.91648052842736	108	0.0787588486696876	0.973033707865169
"OTU_92"	109	4.31275388186767	273	0.0944824265548113	0.95361875637105
"OTU_120"	114	12.6391997840397	487	0.0973260916630725	0.924390622574134
