OUT	C.M1	C.M2	C.M3	GC.M1	GC.M2	GC.M3	Taxonomy
OTU_2781	1	9	8	3	0	1	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__Roseiflexus;s__
OTU_2782	45	80	47	10	27	13	k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group;o__;f__;g__;s__
OTU_2783	1	0	0	0	0	1	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae
OTU_2784	2	3	3	3	3	3	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__0319-6A21;g__unidentified_0319-6A21;s__bacterium_WX65
OTU_2785	28	32	26	9	11	8	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;s__
OTU_2786	19	0	0	5	0	2	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__Christensenellaceae_R-7_group;s__
OTU_2787	0	1	0	0	0	2	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae
OTU_2788	2	0	0	3	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_calcoaceticus
OTU_2789	3	0	0	1	3	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_5;s__
OTU_2790	0	1	0	2	2	4	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Peptococcus;s__
OTU_2791	3	0	0	1	1	2	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerosporobacter;s__
OTU_2792	2	2	1	1	4	2	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__
OTU_2793	6	1	1	0	2	1	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__env.OPS_17;g__;s__
OTU_2794	4	3	2	3	1	2	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
OTU_2795	0	0	0	2	0	0	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Kallotenuales;f__AKIW781;g__;s__
OTU_2796	1	9	6	3	8	8	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
OTU_2797	14	0	0	4	4	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Defluviitaleaceae;g__Defluviitaleaceae_UCG-011;s__
OTU_2798	0	9	2	3	0	2	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_2;f__;g__;s__
OTU_2799	1	1	1	3	1	0	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Zavarzinella;s__
OTU_2800	2	2	1	2	1	1	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__AT425-EubC11_terrestrial_group;f__;g__;s__
OTU_2801	3	7	5	2	2	6	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__AT425-EubC11_terrestrial_group;f__;g__;s__
OTU_2802	0	2	0	1	1	2	k__Bacteria;p__Chloroflexi;c__TK10;o__;f__;g__;s__
OTU_2803	9	10	6	3	4	4	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Oligoflexales;f__;g__;s__
OTU_2804	55	107	97	28	39	33	k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group
OTU_2805	1	0	0	2	3	1	k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__
OTU_2806	2	0	0	0	1	2	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales
OTU_2807	2	0	0	0	0	0	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Roseimaritima;s__
OTU_2808	0	1	2	0	1	3	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__I-8;s__
OTU_2809	18	7	3	3	12	9	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__
OTU_2810	0	2	2	0	0	2	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__
OTU_2811	1	0	0	1	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Alcanivoracaceae;g__Alcanivorax
OTU_2812	4	1	5	11	6	4	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae
OTU_2813	3	2	1	2	4	3	k__Bacteria;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__OPB56;g__;s__
OTU_2814	5	2	3	2	1	2	k__Bacteria;p__Planctomycetes;c__OM190;o__;f__;g__;s__
OTU_2815	0	0	0	2	1	2	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mollicutes_RF9;f__;g__;s__
OTU_2816	6	6	5	3	7	8	k__Bacteria;p__Armatimonadetes;c__;o__;f__;g__;s__
OTU_2817	0	1	5	1	1	1	k__Bacteria;p__Saccharibacteria;c__;o__;f__;g__;s__
OTU_2818	3	0	4	0	2	1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__Haliangium;s__
OTU_2819	0	1	2	0	2	1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Sandaracinaceae;g__Sandaracinus;s__
OTU_2820	2	0	3	5	1	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010;s__
OTU_2821	0	5	3	1	0	2	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
OTU_2822	0	2	2	0	2	1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Nannocystaceae
OTU_2823	0	0	0	1	0	1	k__Bacteria;p__WD272;c__;o__;f__;g__;s__
OTU_2824	0	0	0	1	2	3	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
OTU_2825	3	2	2	0	1	0	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_15;f__;g__;s__
OTU_2826	0	0	0	0	0	4	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidales_S24-7_group;g__;s__
OTU_2827	5	2	13	4	1	4	k__Bacteria
OTU_2828	3	6	8	1	2	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Solimonadaceae
OTU_2829	4	9	6	2	1	3	k__Bacteria
OTU_2830	1	5	1	5	0	1	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Gemmata;s__
OTU_2831	2	6	2	1	3	2	k__Bacteria
OTU_2832	3	1	2	3	6	2	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__;s__
OTU_2833	4	4	6	0	3	1	k__Bacteria;p__Actinobacteria;c__unidentified_Actinobacteria;o__Micromonosporales;f__Micromonosporaceae
OTU_2834	35	46	41	29	29	27	k__Bacteria;p__Acidobacteria;c__Holophagae;o__Subgroup_10;f__ABS-19
OTU_2835	0	2	2	2	1	2	k__Bacteria
OTU_2836	1	9	3	1	0	0	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
OTU_2837	1	1	0	6	2	2	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__p-1088-a5_gut_group;s__
OTU_2838	3	0	1	4	18	4	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_2839	168	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group;s__
OTU_2840	1	2	2	1	0	2	k__Bacteria;p__Planctomycetes;c__BD7-11;o__;f__;g__;s__
OTU_2841	4	3	3	7	2	4	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
OTU_2842	1	2	0	4	5	2	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Sandaracinaceae;g__Sandaracinus;s__
OTU_2843	2	2	2	1	1	1	k__Bacteria;p__Actinobacteria;c__unidentified_Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces
OTU_2844	1	4	1	1	3	1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__I-10;g__;s__
OTU_2845	0	0	3	2	3	4	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Panacagrimonas;s__
OTU_2846	0	2	3	4	0	2	k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__;f__;g__;s__
OTU_2847	2	1	0	0	0	2	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales
OTU_2848	1	2	2	1	1	1	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__SM1A02;s__
OTU_2849	5	3	6	3	0	3	k__Bacteria
OTU_2850	1	0	0	3	1	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010;s__
OTU_2851	2	1	2	1	0	2	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
OTU_2852	2	1	0	1	1	3	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces;s__
OTU_2853	0	3	2	1	0	1	k__Bacteria;p__Chloroflexi;c__TK10
OTU_2854	16	0	0	2	0	2	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_AD3011_group;s__
OTU_2855	1	0	0	5	1	2	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_2856	4	1	1	1	1	0	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_5;f__;g__;s__
OTU_2857	0	5	1	0	2	1	k__Bacteria
OTU_2858	1	1	0	2	0	5	k__Bacteria;p__Chloroflexi;c__KD4-96
OTU_2859	5	6	2	0	0	0	k__Bacteria
OTU_2860	0	0	2	1	2	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Nitrospinaceae;g__Candidatus_Entotheonella;s__
OTU_2861	0	1	1	2	1	1	k__Bacteria;p__Chloroflexi;c__Ardenticatenia;o__Ardenticatenales;f__;g__;s__
OTU_2862	6	6	7	4	1	3	k__Bacteria;p__Elusimicrobia;c__unidentified_Elusimicrobia;o__Lineage_IIb;f__;g__;s__
OTU_2863	2	1	0	0	1	0	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
OTU_2864	2	2	2	3	2	2	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae
OTU_2865	0	1	0	6	0	3	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae_UCG-004;s__
OTU_2866	2	1	7	1	1	0	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
OTU_2867	6	3	9	2	10	6	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
OTU_2868	3	6	19	2	3	1	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__Roseiflexus;s__
OTU_2869	1	0	0	2	3	3	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales
OTU_2870	0	0	0	0	0	0	k__Bacteria;p__WD272;c__;o__;f__;g__;s__
OTU_2871	0	3	1	1	4	2	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__GR-WP33-30;f__;g__;s__
OTU_2872	3	0	0	2	2	2	k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group;o__;f__;g__;s__
OTU_2873	1	2	0	1	0	4	k__Bacteria;p__TM6;c__;o__;f__;g__;s__
OTU_2874	0	0	1	0	2	3	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
OTU_2875	3	4	3	1	2	1	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Aquicella;s__
OTU_2876	0	0	0	0	0	0	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_3;f__unidentified_Acidobacteria;g__Bryobacter;s__
OTU_2877	0	1	5	3	0	0	k__Bacteria;p__Saccharibacteria;c__;o__;f__;g__;s__
OTU_2878	8	29	12	4	8	9	k__Bacteria;p__Chloroflexi;c__TK10;o__;f__;g__;s__
OTU_2879	0	2	0	3	0	0	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__
OTU_2880	1	2	1	0	1	0	k__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__Caldilineaceae;g__;s__
OTU_2881	1	0	2	2	0	2	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
OTU_2882	2	3	2	2	3	1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Nannocystaceae;g__;s__
OTU_2883	6	6	9	3	4	11	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae
OTU_2884	0	3	1	1	2	1	k__Bacteria;p__WCHB1-60;c__;o__;f__;g__;s__
OTU_2885	6	9	12	13	12	11	k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group;o__;f__;g__;s__
OTU_2886	1	0	0	4	2	12	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_2887	1	3	2	2	1	2	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__unidentified_Xanthomonadales;g__Acidibacter;s__
OTU_2888	0	0	2	2	0	1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__P3OB-42;g__;s__
OTU_2889	1	1	0	1	0	1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae
OTU_2890	56	33	33	37	43	56	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Terrimonas;s__
OTU_2891	1	7	2	5	5	3	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales
OTU_2892	0	0	0	0	0	0	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;s__
OTU_2893	0	0	1	6	1	3	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
OTU_2894	2	4	2	1	0	1	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales
OTU_2895	3	2	5	3	2	5	k__Bacteria
OTU_2896	2	4	1	2	4	2	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
OTU_2897	0	1	0	1	4	1	k__Bacteria;p__Proteobacteria
OTU_2898	1	0	1	1	2	5	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
OTU_2899	2	1	0	1	2	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Aquicella
OTU_2900	1	2	2	0	2	1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__mle1-27;g__;s__
OTU_2901	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__unidentified_Rhizobiales;g__Rhizomicrobium;s__
OTU_2902	1	1	1	2	4	3	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus_harenae
OTU_2903	0	3	1	9	1	4	k__Bacteria;p__Actinobacteria;c__unidentified_Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Actinophytocola;s__
OTU_2904	5	7	9	8	3	4	k__Bacteria;p__Thermomicrobia;c__unidentified_Thermomicrobia;o__JG30-KF-CM45;f__;g__;s__
OTU_2905	1	0	1	2	1	1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__Haliangium;s__
OTU_2906	3	3	0	2	0	0	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria
OTU_2907	4	2	3	2	0	3	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
OTU_2908	2	2	1	3	1	2	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Cystobacteraceae;g__Anaeromyxobacter;s__
OTU_2909	1	2	0	1	0	1	k__Bacteria;p__Actinobacteria;c__unidentified_Actinobacteria
OTU_2910	2	10	3	2	3	0	k__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__Caldilineaceae;g__;s__
OTU_2911	5	2	1	6	0	2	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces;s__
OTU_2912	2	0	0	3	1	2	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-013;s__
OTU_2913	1	0	0	3	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria
OTU_2914	8	7	4	2	0	2	k__Bacteria
OTU_2915	1	1	0	2	1	1	k__Bacteria;p__Latescibacteria;c__;o__;f__;g__;s__
OTU_2916	88	0	0	1	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Eubacterium_coprostanoligenes_group;s__
OTU_2917	2	0	0	1	4	1	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__
OTU_2918	2	1	5	1	1	2	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__AT425-EubC11_terrestrial_group;f__;g__;s__
OTU_2919	2	5	7	3	6	2	k__Bacteria;p__Armatimonadetes;c__;o__;f__;g__;s__
OTU_2920	3	3	4	2	5	7	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;s__
OTU_2921	0	1	1	3	0	0	k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group;o__;f__;g__;s__
OTU_2922	1	0	3	2	3	1	k__Bacteria;p__Chloroflexi
OTU_2923	8	13	13	5	6	4	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_17;f__;g__;s__
OTU_2924	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__unidentified_Acidimicrobiales;g__unidentified_Acidimicrobiales;s__actinobacterium_BGR_43
OTU_2925	1	1	2	2	3	1	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae
OTU_2926	6	2	2	3	3	0	k__Bacteria;p__Armatimonadetes;c__;o__;f__;g__;s__
OTU_2927	11	4	4	3	0	2	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
OTU_2928	3	1	9	0	0	0	k__Bacteria
OTU_2929	5	1	3	0	2	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__AKYH767;g__;s__
OTU_2930	0	2	3	3	3	2	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__P3OB-42;g__;s__
OTU_2931	5	0	1	6	10	3	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_2932	29	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001;s__
OTU_2933	7	5	5	2	2	3	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_5;f__;g__;s__
OTU_2934	1	2	3	4	0	3	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales
OTU_2935	1	3	2	0	1	2	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
OTU_2936	3	7	3	2	3	7	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
OTU_2937	0	5	2	0	0	0	k__Bacteria;p__Chloroflexi;c__Ardenticatenia;o__;f__;g__;s__
OTU_2938	4	3	9	2	1	3	k__Bacteria;p__Saccharibacteria;c__;o__;f__;g__;s__
OTU_2939	3	5	7	2	3	6	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
OTU_2940	0	1	2	2	1	1	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Order_II;f__Rhodothermaceae;g__;s__
OTU_2941	1	2	0	10	0	1	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
OTU_2942	31	0	0	0	0	0	k__Bacteria;p__Bacteroidetes
OTU_2943	0	3	1	1	0	0	k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group
OTU_2944	0	2	3	0	3	2	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__Roseiflexus;s__
OTU_2945	0	3	0	5	0	0	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
OTU_2946	3	11	7	11	6	9	k__Bacteria;p__Planctomycetes
OTU_2947	5	1	1	6	4	4	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-013;s__
OTU_2948	1	7	8	3	3	3	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__;s__
OTU_2949	0	0	0	0	0	0	k__Bacteria;p__WD272;c__;o__;f__;g__;s__
OTU_2950	2	2	0	3	2	3	k__Bacteria;p__Planctomycetes
OTU_2951	0	4	0	1	1	2	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Sandaracinaceae;g__Sandaracinus;s__
OTU_2952	2	4	2	4	3	3	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__unidentified_Rhizobiales;g__Rhizomicrobium;s__
OTU_2953	1	3	2	0	1	1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfurellales;f__Desulfurellaceae;g__;s__
OTU_2954	1	2	0	1	2	0	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_6;f__;g__;s__
OTU_2955	1	4	0	0	2	3	k__Bacteria;p__Elusimicrobia;c__unidentified_Elusimicrobia;o__Lineage_IV;f__;g__;s__
OTU_2956	1	1	2	0	0	1	k__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__Caldilineaceae;g__;s__
OTU_2957	3	1	1	0	1	0	k__Bacteria;p__Planctomycetes;c__OM190;o__;f__;g__;s__
OTU_2958	0	2	0	0	1	2	k__Bacteria;p__Planctomycetes
OTU_2959	13	34	23	23	10	24	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteriaceae;g__Rubrobacter;s__
OTU_2960	6	9	5	4	2	5	k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group;o__;f__;g__;s__
OTU_2961	6	4	5	2	3	1	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
OTU_2962	0	1	0	3	4	3	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Pelagibius;s__
OTU_2963	2	1	0	2	0	2	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales
OTU_2964	2	4	3	0	0	2	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae
OTU_2965	1	4	0	2	5	8	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Herpetosiphonales;f__Herpetosiphonaceae;g__Herpetosiphon;s__
OTU_2966	3	1	2	2	2	1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__A0839;g__;s__
OTU_2967	20	9	23	8	3	8	k__Bacteria;p__Actinobacteria;c__unidentified_Actinobacteria;o__Micromonosporales;f__Micromonosporaceae
OTU_2968	3	1	3	1	2	1	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae
OTU_2969	0	2	0	1	0	0	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces;s__
OTU_2970	1	2	1	1	1	0	k__Bacteria;p__Hydrogenedentes;c__;o__;f__;g__;s__
OTU_2971	0	2	1	2	0	1	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_6;f__;g__;s__
OTU_2972	2	0	2	1	1	3	k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae
OTU_2973	1	4	4	1	2	2	k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter_intestinalis
OTU_2974	1	4	3	3	1	6	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__P3OB-42;g__;s__
OTU_2975	2	0	1	1	1	2	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Verrucomicrobium;s__
OTU_2976	3	3	4	4	0	2	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_20;f__;g__;s__
OTU_2977	0	0	0	0	2	3	k__Bacteria;p__Proteobacteria
OTU_2978	22	0	3	0	1	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_1;s__Clostridium_butyricum
OTU_2979	0	0	1	1	0	1	k__Bacteria;p__Chlamydiae;c__unidentified_Chlamydiae;o__Chlamydiales
