#OTU ID	KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	OE4	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9	OE3
OTU_350	6	2	2	3	0	3	2	4	1	1	3	3	3	3	1	3	4	4	1	1	2	2	4	0	4	1	0
OTU_471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_112	1	1	4	4	6	2	3	2	3	1	1	3	2	2	2	2	2	2	5	10	2	2	2	4	3	2	1
OTU_68	1	0	0	1	2	2	1	18	3	0	0	0	1	3	7	2	1	0	1	3	0	2	0	4	6	0	0
OTU_90	2	7	3	1	1	4	2	2	1	5	0	10	1	3	3	2	2	3	3	3	1	1	4	0	3	3	6
OTU_36	6	10	7	2	6	5	3	5	5	3	7	6	6	6	5	8	4	6	3	4	5	8	7	4	15	10	4
OTU_17	17	3	23	16	7	11	46	34	11	8	16	5	10	12	30	14	14	11	10	8	11	9	3	13	4	9	9
OTU_29	13	19	19	19	30	11	17	13	17	14	20	22	23	20	19	17	21	16	24	40	23	30	21	23	20	34	33
OTU_418	13	3	10	16	17	5	15	12	13	9	4	15	12	9	8	20	24	7	18	14	14	17	8	20	22	10	13
OTU_148	2	0	1	1	2	0	1	1	2	1	2	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1
OTU_293	2	0	1	2	1	1	1	2	3	1	0	5	3	3	2	2	1	4	3	2	1	3	1	2	2	2	8
OTU_110	3	4	2	3	3	1	3	3	2	2	4	1	3	2	1	3	2	2	1	1	3	3	1	1	1	2	5
OTU_304	3	1	2	6	1	1	3	3	3	1	4	1	4	3	3	4	3	3	1	2	3	3	2	1	2	1	1
OTU_104	1	4	1	0	2	0	1	1	4	2	0	0	2	2	7	0	0	1	0	0	1	1	1	1	0	0	1
OTU_40	7	3	3	9	2	2	3	3	2	8	4	4	13	8	5	7	6	3	5	5	5	11	1	4	6	4	4
OTU_141	2	1	2	1	0	2	2	1	2	0	1	4	1	1	0	1	1	1	0	2	1	1	1	1	0	1	0
OTU_402	1	1	2	2	2	1	1	1	1	1	1	1	2	1	0	1	2	1	1	3	1	0	1	2	1	2	3
OTU_57	1	6	2	4	1	3	3	2	1	3	2	3	3	2	3	2	2	7	3	2	3	1	4	2	2	2	1
OTU_73	19	9	12	19	24	9	13	10	10	5	10	19	11	11	11	17	21	15	16	11	16	16	11	17	19	16	8
OTU_168	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0
OTU_42	6	1	6	6	0	3	3	3	4	1	2	1	5	5	2	4	5	4	3	1	4	1	4	2	1	2	1
OTU_75	12	2	11	10	6	9	7	10	10	3	6	3	9	10	5	10	10	7	4	8	9	8	6	7	4	6	6
OTU_91	8	2	10	4	1	6	5	3	4	2	3	5	4	4	5	2	4	2	3	2	4	2	6	1	0	3	1
OTU_485	6	2	6	5	3	4	3	4	4	3	4	5	3	5	4	5	4	5	3	4	4	4	3	3	4	3	4
OTU_35	16	15	14	13	14	7	8	12	11	6	8	13	15	19	12	10	11	11	15	18	12	16	12	16	24	12	14
OTU_729	3	9	5	4	2	4	3	4	3	6	4	3	5	3	5	3	1	5	2	2	4	1	7	0	3	4	3
OTU_123	6	2	4	4	6	7	6	8	6	2	1	6	4	6	2	6	5	5	6	6	18	7	4	3	13	6	8
OTU_200	2	0	1	0	0	1	2	1	1	1	1	0	0	1	0	0	1	0	0	1	1	1	0	1	1	0	0
OTU_47	9	1	18	2	7	2	4	3	3	6	2	1	2	1	7	3	2	11	2	5	2	2	2	4	5	4	1
OTU_103	1	1	1	2	3	0	2	4	1	1	4	3	2	1	0	1	0	2	3	2	1	2	1	3	4	6	6
OTU_60	18	8	14	12	20	9	17	16	18	9	9	15	15	13	11	11	11	21	10	18	16	10	12	21	22	11	8
OTU_46	7	8	7	5	3	5	10	8	3	4	12	3	5	9	6	5	5	5	5	2	6	3	10	2	3	3	1
OTU_19	28	13	23	20	38	19	25	21	20	7	20	38	20	26	20	22	17	22	28	41	22	35	12	27	29	45	23
OTU_343	7	7	5	11	9	5	10	6	4	1	8	4	8	6	9	6	5	11	6	5	4	14	6	7	12	15	6
OTU_74	4	2	5	4	5	3	9	4	6	1	3	9	5	4	4	4	4	5	6	4	3	3	3	3	8	7	1
OTU_197	3	0	9	5	0	1	5	1	0	0	0	3	4	16	1	6	0	0	3	1	0	1	5	4	1	2	0
OTU_34	11	1	6	12	6	1	19	1	5	4	10	11	10	3	5	10	6	12	6	9	7	12	1	5	12	6	3
